,,Innoflex 3 LAYER MACHINE SPECIFICATION,,,,,,
EQUIPMENT,AE- 1125,,AE- 1350,,AE - 1350,,AE - 1625,
EXTRUDER,40/40/40,,45/55/45,,50/50/50,,50/65/50,
MOTORS (HP),15/15/15,,20/30/20,,30/30/30,,30/60/30,
L/D RATIO,30:1,,30:1,,30:1,,32:1,
DIE,225,,275,,300,,325 MM,
WIDTH,1000 MM,,1250 MM,,1250 MM,,1500 MM,
AIR RING BLOWER,5 HP,,10 HP,,10 HP,,15 HP,
AIR RING DRIVE,AC DRIVE,,AC DRIVE,,AC DRIVE,,AC DRIVE,
BUBBLE CAGE,4 SEGMENT 4 ROW- MANUAL,,6 SEGMENT 4 ROW- MOTORIZED,,6 SEGMENT 4 ROW- MOTORIZED,,6 SEGMENT - MOTORIZED,
COLLAPSING FRAME,PBT ROLLERS,,PBT ROLLERS,,PBT ROLLERS,,PBT ROLLERS,
HAULOFF/ PLATFORM,PLATFORM,,V. HAULOFF / HORIZONTAL,,HORIZONTAL,,HORIZONTAL,
ADDITIONAL NIP,CONNECTED TO WINDER 1.5 HP,,CONNECTED TO WINDER 2 HP,,CONNECTED TO WINDER 2 HP,,CONNECTED TO WINDER 2 HP,
SURFACE WINDER,MANUAL,,MANUAL,,SEMI AUTO,,SEMI AUTO,
THICKNESS,20 - 150,,20 - 150,,20 - 150,,20 - 200,
VARIATION,+/- 8% OR +/- 4 MICRON @ 90%,,+/- 8% OR +/- 4 MICRON @ 90%,,+/- 8% OR +/- 4 MICRON @ 90%,,+/- 8% OR +/- 4 MICRON @ 90%,
MAIN NIP DRIVE,1.5 HP,,2 HP,,2 HP,,2 HP,
LINE SPEED,6 TO 60 MPM,,8 - 80 MPM,,8 - 80 MPM,,8 - 80 MPM,
TRIM BLOWER,NOT INCLUDED,,INCLUDED,,INCLUDED,,INCLUDED,
WINDER DRIVE,1.5 HP,,2 HP,,2 HP,,2 HP,
ROLL CAPACITY,400 KG / 900 MM DIA,,600 KG / 900 MM DIA,,600 KG / 900 MM DIA,,600 KG / 900 MM DIA,
CONTROL PANEL,PID TEMP. CONTROLLER,,PID TEMP. CONTROLLER,,PID TEMP. CONTROLLER,,PID TEMP. CONTROLLER,
TOTAL CONNECTED LOAD,67,KW,112,KW,126 KW,,185 KW,
OVERALL DIMENSIONS,7.8 * 5.1 * 6.5,,7.8 * 5.1 * 7.5,,7.8 * 5.1 * 8.3,,14 M L * 7 M W*,11 M H
OUTPUT,100 -120 KG/HR,,140 -160 KG/HR,,150 -180 KG/HR,,180 - 220 KG/HR,
TENSION CONTROL,TORQUE/DANCER/LOADCELL,,TORQUE/DANCER/LOADCELL,,TORQUE/DANCER/LOADCELL,,TORQUE/DANCER/LOADCELL,
POWER CONSUMPTION,0.35 kW/KG/HR,,0.35 kW/KG/HR,,0.35 kW/KG/HR,,0.35 kW/KG/HR,
EQUIPMENT,AE- 1870,,AE- 2125,,AE - 2370,,AE - 2625,
EXTRUDER,50/65/50 & 55/65/55,,65/65/65 OR 65/75/65,,65/75/65,,75/90/75,
MOTORS (HP),30/60/30 & 40/60/40,,60/60/60 & 60/75/60,,60/75/60,,75/125/75,
L/D RATIO,32:1,,32:1,,32:1,,32:1,
DIE,375,,450,,525,,575,
WIDTH,1750 MM,,2000,,2250,,2500,
AIR RING BLOWER,15 HP,,20 HP,,20 HP,,25 HP,
AIR RING DRIVE,AC DRIVE,,AC DRIVE,,AC DRIVE,,AC DRIVE,
BUBBLE CAGE,6 SEGMENT - MOTORIZED,,9 SEGMENT - MOTORIZED,,9 SEGMENT - MOTORIZED,,9 SEGMENT - MOTORIZED,
COLLAPSING FRAME,PBT ROLLERS,,PBT ROLLERS,,PBT ROLLERS,,PBT ROLLERS,
HAULOFF/ PLATFORM,HORIZONTAL,,HORIZONTAL,,HORIZONTAL,,HORIZONTAL,
ADDITIONAL NIP,CONNECTED TO WINDER,,CONNECTED TO WINDER,,CONNECTED TO WINDER,,CONNECTED TO WINDER,
SURFACE WINDER,SEMI AUTO / AUTO,,SEMI AUTO / AUTO,,SEMI AUTO / AUTO,,SEMI AUTO / AUTO,
THICKNESS,20 - 200,,20 - 200,,20 - 200,,20 - 200,
VARIATION,+/- 8% OR +/- 4 MICRON @ 90%,,+/- 8% OR +/- 4 MICRON @ 90%,,+/- 8% OR +/- 4 MICRON @ 90%,,+/- 8% OR +/- 4 MICRON @ 90%,
MAIN NIP DRIVE,3 HP,,3 HP,,5 HP,,5 HP,
LINE SPEED,8 - 80 MPM,,8 - 80 MPM,,8 - 80 MPM,,8 - 80 MPM,
TRIM BLOWER,INCLUDED,,INCLUDED,,INCLUDED,,INCLUDED,
WINDER DRIVE,2 HP,,3 HP,,3 HP,,3 HP,
ROLL CAPACITY,600 KG / 1000 MM DIA,,600 KG / 1000 MM DIA,,600 KG / 1000 MM DIA,,600 KG / 1000 MM DIA,
CONTROL PANEL,PID TEMP. CONTROLLER,,PID TEMP. CONTROLLER,,PID TEMP. CONTROLLER,,PID TEMP. CONTROLLER,
TOTAL CONNECTED LOAD,227 KW,,225 - 260 KW,,262 KW,,300 KW,
OVERALL DIMENSIONS,15 M L * 8 M W*,12 M H,15 M L * 8 M W*,13 M H,15 M L * 8 M W*,13 M H,15 M L * 8 M W*,14 M H
OUTPUT,180-200 & 200-240 KG/HR,,250 - 350 KG/HR,,270-350 KG/HR,,500-600 KG/HR,
TENSION CONTROL,TORQUE/DANCER/LOADCELL,,TORQUE/DANCER/LOADCELL,,TORQUE/DANCER/LOADCELL,,TORQUE/DANCER/LOADCELL,
POWER CONSUMPTION,0.38 kW/KG/HR,,0.38 kW/KG/HR,,0.38 kW/KG/HR,,0.38 kW/KG/HR,
,,OPTIONAL EQUIPMENTS & ACCESSORIES,,,,,,
IBC SYSTEM ��,EXTRUSION PROCESS CONTROL ��,MULTI COMPONENT GRAVIMETRIC SYSTEM ��,,,FULLY AUTOMATIC WINDER ��,,,
HYDRAULIC UNLOADER ��,IMPORTED AUTO THICKNESS CONTROL SYSTEM ��,,,TOUCH SCREEN CONTROL PANEL ��,,, WEB GUIDE ��,
AIR SHAFT ��,. AIR / WATER CHILLER ��,LOADCELL TENSION CONTROL ��,,GRANULE MIXER WITH DRYER ��,,. GUSSET BOARD ASSLY etc.,,
,,,APPLICATIONS,,,,,
LAMINATION FILM ��,LIQUID PACKAGING FILM ��,HIGH DART FFS FILM ��,,CEREAL PACKAGING FILM ��,,OIL FILM ��,PHARMA FILM,
PALLET HOOD FILM ��,SHRINK FILM ��,STRETCH FILM ��,GREEN HOUSE FILM ��,,SILAGE AND MULCH FILM ��,,CHEMICAL FILM ��,
SOAD / DETERGENT FILM ��,SALT FILM ��,. MILK FILM ��,LINEAR FILM ��, COURIER BAG FILM AND MANY,,,,
